,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
5752,2014,02/2014,BSA,BSA-L3,2773,2773,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,1.40944,1.0,1.40944
5753,2014,12/2014,BSA,BSA-L3,2773,2773,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,1.41972,1.0,0.0
5754,2012,08/2012,BSA,BSA-L2,2720,2827,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,8.2875,15.0,0.5525
5755,2012,08/2012,BSA,BSA-L2,2720,2827,45.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,4.3791,15.0,0.29194000000000003
5756,2012,09/2012,BSA,BSA-L2,2720,2827,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C277,PARTIDO NO NEUTRO,12.49995,15.0,0.83333
5757,2013,04/2013,BSA,BSA-L2,2720,2827,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C272,DESNIVELADO,42.98784,14.0,3.07056
5758,2013,10/2013,BSA,BSA-L2,2720,2827,45.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C192,FALHA BUCHA DE AT,15.25005,15.0,1.01667
5759,2012,08/2012,BSA,BSA-L2,2828,2828,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,33.30243,21.0,1.58583
5760,2012,08/2012,BSA,BSA-L2,2828,2828,112.5,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,6.13074,21.0,0.29194000000000003
5761,2013,08/2013,BSA,BSA-L2,2828,2828,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C271,PARTIDO NA FASE,41.8,22.0,1.9
5762,2012,04/2012,BSA,BSA-L2,2829,2829,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C323,CABOS LIGAÇÃO DO TRA,173.70018,54.0,3.2166699999999997
5763,2012,08/2012,BSA,BSA-L2,2829,2829,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,85.63482,54.0,1.58583
5764,2012,08/2012,BSA,BSA-L2,2829,2829,112.5,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,15.76476,54.0,0.29194000000000003
5765,2012,10/2012,BSA,BSA-L2,2829,2829,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C278,PARTIDO NA CONEXÃO,38.70018,54.0,0.71667
5766,2012,10/2012,BSA,BSA-L2,2829,2829,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C323,CABOS LIGAÇÃO DO TRA,28.79982,54.0,0.53333
