Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
10,2012,04/2012,Y,Y-L4,8887,8,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,123.69324,83.0,1.49028
11,2012,05/2012,Y,Y-L4,8887,8,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,105.2025,83.0,1.2675
12,2013,06/2013,Y,Y-L4,8887,8,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,112.05,83.0,1.3499999999999999
13,2013,07/2013,Y,Y-L4,8887,8,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,132.24639,83.0,1.59333
14,2014,10/2014,Y,Y-L4,69184,8,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,90.81324,84.0,1.08111
15,2012,04/2012,X,X-L1,13592,9,30.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,1.39028,1.0,1.39028
16,2013,07/2013,X,X-L1,13592,9,30.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,0.91722,1.0,0.91722
17,2012,05/2012,X,X-L6,0015,15,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,29.33312,64.0,0.45833
18,2012,08/2012,X,X-L6,0015,15,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,228.17792,64.0,3.56528
19,2013,09/2013,X,X-L6,0015,15,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,3.15,63.0,0.049999999999999996
20,2012,05/2012,X,X-L6,0016,16,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,0.45833,1.0,0.45833
21,2012,08/2012,X,X-L6,0016,16,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,3.56528,1.0,3.56528
22,2013,09/2013,X,X-L6,0016,16,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,0.05,1.0,0.05
23,2012,05/2012,X,X-L6,0017,17,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,10.08326,22.0,0.45832999999999996
24,2012,08/2012,X,X-L6,0017,17,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,78.43616,22.0,3.56528
25,2013,09/2013,X,X-L6,0017,17,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,1.1,22.0,0.05
26,2012,05/2012,X,X-L6,0018,18,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,9.62493,21.0,0.45833
27,2012,08/2012,X,X-L6,0018,18,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,74.87088,21.0,3.56528
