,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
6569,2012,04/2012,MGB,MGB-L4,4632,4632,30.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,5.96112,4.0,1.49028
6570,2012,05/2012,MGB,MGB-L4,4632,4632,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,6.14112,8.0,0.76764
6571,2012,07/2012,MGB,MGB-L4,4632,4632,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,6.47332,8.0,0.809165
6572,2013,07/2013,MGB,MGB-L4,4632,4632,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,10.39332,4.0,2.59833
6573,2014,10/2014,MGB,MGB-L4,4632,4632,30.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,5.40555,5.0,1.08111
6574,2012,04/2012,MGB,MGB-L4,4633,4633,45.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,61.10148,41.0,1.49028
6575,2012,05/2012,MGB,MGB-L4,4633,4633,45.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,51.9675,41.0,1.2675
6576,2013,03/2013,MGB,MGB-L4,4633,4633,45.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C323,CABOS LIGAÇÃO DO TRA,21.93324,28.0,0.7833300000000001
6577,2013,06/2013,MGB,MGB-L4,4633,4633,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,55.35,41.0,1.35
6578,2013,07/2013,MGB,MGB-L4,4633,4633,45.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,70.10652,44.0,1.5933300000000001
6579,2014,10/2014,MGB,MGB-L4,4633,4633,45.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,62.70438,58.0,1.08111
6580,2012,04/2012,MGB,MGB-L4,18172,4634,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,31.29588,21.0,1.49028
6581,2012,05/2012,MGB,MGB-L4,18172,4634,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,26.6175,21.0,1.2675
6582,2012,11/2012,MGB,MGB-L4,18172,4634,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C323,CABOS LIGAÇÃO DO TRA,36.05007,21.0,1.71667
6583,2013,03/2013,MGB,MGB-L4,18172,4634,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C323,CABOS LIGAÇÃO DO TRA,27.93328,38.0,0.7350863157894737
6584,2013,06/2013,MGB,MGB-L4,18172,4634,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,29.7,22.0,1.3499999999999999
6585,2013,07/2013,MGB,MGB-L4,18172,4634,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,35.05326,22.0,1.5933300000000001
6586,2013,09/2013,MGB,MGB-L4,18172,4634,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C323,CABOS LIGAÇÃO DO TRA,5.5,22.0,0.25
6587,2013,09/2013,MGB,MGB-L4,18172,4634,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,3.0,1.0,0.0
